skill_name,Video,Notes,Practice
Circle Graph,https://youtu.be/example1,Circle Graph Notes.pdf,Circle Graph Practice.pdf
Median,https://youtu.be/example2,Median Notes.pdf,Median Practice.pdf
Equivalent Fractions,https://youtu.be/example3,Fractions Notes.pdf,Fractions Practice.pdf
Finding Percents,https://youtu.be/example4,Percents Notes.pdf,Percents Practice.pdf
Proportion,https://youtu.be/example5,Proportion Notes.pdf,Proportion Practice.pdf
Reading a Ruler,https://youtu.be/example6,Ruler Notes.pdf,Ruler Practice.pdf
Quadratic Formula,https://youtu.be/example7,Quadratic Notes.pdf,Quadratic Practice.pdf
Systems of Linear Equations,https://youtu.be/example8,Systems Notes.pdf,Systems Practice.pdf
Multiplication Whole Numbers,https://youtu.be/example9,Multiplication Notes.pdf,Multiplication Practice.pdf
Computation with Real Numbers,https://youtu.be/example10,Real Numbers Notes.pdf,Real Numbers Practice.pdf
Pythagorean Theorem,https://youtu.be/example11,Pythagorean Notes.pdf,Pythagorean Practice.pdf
Probability and Statistics,https://youtu.be/example12,Probability Notes.pdf,Probability Practice.pdf
Exponents and Radicals,https://youtu.be/example13,Exponents Notes.pdf,Exponents Practice.pdf
Perimeter and Area,https://youtu.be/example14,Perimeter Notes.pdf,Perimeter Practice.pdf
Linear Functions and Slope,https://youtu.be/example15,Linear Functions Notes.pdf,Linear Functions Practice.pdf
Polynomial Operations,https://youtu.be/example16,Polynomial Notes.pdf,Polynomial Practice.pdf
Trigonometric Ratios,https://youtu.be/example17,Trigonometry Notes.pdf,Trigonometry Practice.pdf
Logarithmic Functions,https://youtu.be/example18,Logarithm Notes.pdf,Logarithm Practice.pdf
Matrices and Determinants,https://youtu.be/example19,Matrix Notes.pdf,Matrix Practice.pdf
Coordinate Geometry and Distance,https://youtu.be/example20,Coordinate Notes.pdf,Coordinate Practice.pdf
